Página,Sección,Campo,Texto actual,Texto revisado,Notas
Productos,Para acompañar — Dulces y snacks,Nombre de producto,Capitana Piña,Capitana Piña,
Productos,Para acompañar — Dulces y snacks,Descripción de producto,ACAB. Piña deshidratada con canela.,ACAB. Piña deshidratada con canela.,Confirmado por el dueño
Productos,Para acompañar — Dulces y snacks,Precio,$6.00,$6.00,
Productos,Para acompañar — Dulces y snacks,Nombre de producto,Capitán Banano,Capitán Banano,
Productos,Para acompañar — Dulces y snacks,Descripción de producto,"ACAB. Banano deshidratado con chocolate al 70 %, endulzado con eritritol y stevia.","ACAB. Banano deshidratado con chocolate al 70 %, endulzado con eritritol y stevia.",Confirmado por el dueño
Productos,Para acompañar — Dulces y snacks,Precio,$6.00,$6.00,
Productos,Para acompañar — Dulces y snacks,Nombre de producto,Arroz con leche,Arroz con leche,NUEVO desde v1
Productos,Para acompañar — Dulces y snacks,Precio,$8.00,$8.00,
Productos,Para acompañar — Dulces y snacks,Nombre de producto,Tostadas francesas,Tostadas francesas,NUEVO desde v1
Productos,Para acompañar — Dulces y snacks,Precio,$12.00,$12.00,
Productos,Para acompañar — Tortas por encargo,Nombre de categoría,Tortas por encargo,Tortas por encargo,NUEVO desde v1 — categoría completa
Productos,Para acompañar — Tortas por encargo,Nombre de producto,Torta por encargo (8 porciones),Torta por encargo (8 porciones),
Productos,Para acompañar — Tortas por encargo,Descripción de producto,"Sabores: naranja con amapola, chocolate o combinada. Se pide con anticipación.","Sabores: naranja con amapola, chocolate o combinada. Se pide con anticipación.",
Productos,Para acompañar — Tortas por encargo,Precio,$60.00,$60.00,
Productos,Para acompañar — Mermeladas Honey Moon,Nombre de categoría,Mermeladas Honey Moon,Mermeladas Honey Moon,NUEVO desde v1 — categoría completa
Productos,Para acompañar — Mermeladas Honey Moon,Nombre de producto,Mermeladas Honey Moon,Mermeladas Honey Moon,
Productos,Para acompañar — Mermeladas Honey Moon,Descripción de producto,"130 g. 3 frascos por $25.000. Sabores: frutos rojos (fresa, mora y agraz), maracumango, kiwi lulo, piña lulo. Sin conservantes, 60 % menos azúcar. Disponibles en temporada o por encargo.","130 g. 3 frascos por $25.000. Sabores: frutos rojos (fresa, mora y agraz), maracumango, kiwi lulo, piña lulo. Sin conservantes, 60 % menos azúcar. Disponibles en temporada o por encargo.",
Productos,Para acompañar — Mermeladas Honey Moon,Precio,$10.00,$10.00,
Fichas de café,(las 6 fichas),AVISO,"Los 6 cafés del sitio tienen coordenadas reales de municipios cafeteros (validadas contra su departamento), pero la finca, el perfil y la historia siguen siendo inventados. No hace falta revisar su texto — se reemplazan enteros cuando lleguen los datos reales del cliente. Lo que sí sirve es ver QUÉ se necesita de cada café; los campos están abajo con un ejemplo.",,PLACEHOLDER — los 6 se reemplazan con los datos del cliente
Fichas de café,(ejemplo: Aguas Claras),Nombre del café,Aguas Claras,,Dato a entregar por el cliente
Fichas de café,(ejemplo: Aguas Claras),Municipio y departamento,"Salgar, del departamento con código CO-ANT",,Dato a entregar
Fichas de café,(ejemplo: Aguas Claras),Finca,Finca Aguas Claras,,Dato a entregar
Fichas de café,(ejemplo: Aguas Claras),Altura (msnm),1620,,Dato a entregar
Fichas de café,(ejemplo: Aguas Claras),Variedad / proceso / tueste,Caturra / Honey / Medio-oscuro,,Dato a entregar
Fichas de café,(ejemplo: Aguas Claras),Descripción de taza,"El suroeste antioqueño en su versión más reconocible: cuerpo redondo, dulzor de chocolate y un final largo. El proceso honey deja parte del mucílago en el grano al secar, y ese azúcar se queda en la taza.",,"PLACEHOLDER — texto inventado, pendiente de reemplazar"
Fichas de café,(ejemplo: Aguas Claras),Qué oler (3 notas),"Cacao, Nuez tostada, Caramelo",,Dato a entregar
Fichas de café,(ejemplo: Aguas Claras),Qué probar (3 notas),"Chocolate oscuro, Almendra, Ciruela",,Dato a entregar
Fichas de café,(ejemplo: Aguas Claras),Historia del origen,"Salgar está en la cuenca del río Barroso, en la vertiente occidental de la cordillera Central. Las fincas de la zona son minifundios de ladera: casi todo se recoge a mano porque una máquina no sube esa pendiente.",,"PLACEHOLDER — texto inventado, pendiente de reemplazar"
Fichas de café,(ejemplo: Aguas Claras),Llamado a la acción,¿Lo quieres probar o llevar? Pregúntanos por disponibilidad de Aguas Claras — te decimos cómo va la cosecha antes de que vengas.,,
Fichas de café,(ejemplo: Aguas Claras),Botón,Preguntar por este café,Preguntar por este café,
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Enlace de vuelta,Volver a los cafés,Volver a los cafés,NUEVO desde v1
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Sección,Qué vas a sentir,Qué vas a sentir,Encabezado de la sección de aromas y sabores
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Etiqueta,Qué oler,Qué oler,
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Etiqueta,Qué probar,Qué probar,
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Sección,De dónde viene,De dónde viene,Solo aparece si el café tiene historia
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Sección,Cómo lo preparamos,Cómo lo preparamos,Solo aparece si hay métodos recomendados
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Enlace,Ver todos los métodos,Ver todos los métodos,
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Párrafo de cierre,¿Lo quieres probar o llevar? Pregúntanos por disponibilidad de [nombre del café] — te decimos antes de que vengas.,¿Lo quieres probar o llevar? Pregúntanos por disponibilidad de [nombre del café] — te decimos antes de que vengas.,[nombre del café] se rellena solo
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Botón,Preguntar por este café,Preguntar por este café,
Ficha de café,Textos de interfaz (iguales para los 6 cafés),Enlace en la tarjeta de la lista,Leer la historia de [nombre del café],Leer la historia de [nombre del café],Aparece en cada tarjeta de /productos; [nombre del café] se rellena solo
Página no encontrada,404,Título,Esta página no existe.,Esta página no existe.,
Página no encontrada,404,Bajada,"Pasa: un enlace viejo, una dirección mal copiada. Lo que sí existe está acá abajo.","Un enlace viejo, una dirección mal copiada. Lo que sí existe está acá abajo.",
Página no encontrada,404,Enlace de salida,Inicio,Inicio,
Página no encontrada,404,Enlace de salida,Cafés y su origen,Cafés y su origen,
Página no encontrada,404,Enlace de salida,Experiencias y métodos,Experiencias y métodos,
Página no encontrada,404,Enlace de salida,Quiénes somos,Quiénes somos,
